推荐人ID,推荐书籍名称,书籍作者,推荐语,推荐日期
_碳十二_,《人类简史》,,,
_碳十二_,《毛泽东选集》,,真的好看,
草方块,《番茄工作法图解：简单易行的时间管理方法》,,,
杰希,计算机科学导论 机械工业出版社 （经典黑皮书）,,这本书简单介绍了CS相关知识，哪怕作为一本科普读物也是极其优秀的,
茶林,《红星照耀中国》,,刚好在看，这个理由可以嘛,
中二の起源,《今日简史》,,,
中二の起源,《万历十五年》,,,
中二の起源,《全球通史》,,,
棟菻,《走到人生边上》,,一本杨绛先生的小书，觉得生活没有意义的时候可以看一看，会给你启迪,
林子,《法学论文写作》,,,
今天也想吃肉,《薄世宁医学通识讲义》,,,
星空物语,《跟着张鸣上大学》,,准确剖析了中国大学存在的问题及现状，帮助中国大学生对大学生活做出合理的规划,
老师沈逸,《三体》,,硬核科幻作品,
华霑HZ,《烛烬》,马洛伊•山多尔,匈牙利文学 思考友谊的含义,
Yet,《原子习惯》,James Clear著 蔡世偉（台湾）译,是我看过有关习惯最深入最本质，而且能直接应用于生活的一本书,
星海的游吟诗人,《深入理解计算机系统》,,较硬核，简介介绍其书为为大学授课而编，推荐者众。,
星海的游吟诗人,《算法导论》,,较硬核，推荐者众,
星海的游吟诗人,《刻意练习》,,内容实测有效，推荐者众多,
星海的游吟诗人,《金字塔原理》,,,
喜欢摄影的小z同学,《北方的空地》,杨柳松,作者独自骑车去西藏无人区探险，里面有很多丰富的照片，纪实性较强,
榊噬,《民主四讲》,王绍光,有利于解构西方对于当代“民主”一词的定义的垄断,
榊噬,《阿莱克修斯传》,安娜·科穆宁,了解东罗马帝国科穆宁王朝的一手资料（可惜没有中文翻译）,
榊噬,《解构现代化》,温铁军,对于新中国现代化与经济建设的另一种观察与叙事，脱离意识形态（极度推荐学经济学的同学们读一读，防止学的理论脱离实际）,
-老局-,《裸猿》,戴斯蒙德 莫里斯,"人类学著作，对于回答""我是谁""这个问题可以给予一定的启发",
-老局-,《高卢战记》,尤里乌斯 恺撒,历史书，有战争场景，有权谋大略，读之如读三国,
言蹊,《我与地坛》,史铁生,关于人生的思考,
言蹊,《平凡的世界》,路遥,在我高三的时候给过我精神动力,
白煠蝶,《制作进行-一本书彻底让你了解动画制作》,舛本和也,扳机社对日本动画业界的制作流程叙述的一本书，如果想入行动画的小伙伴，可以试着去阅读这本书，当然了，想试着了解关于日本动画制作的小伙伴也可以尝试阅读（笑）,
yesi,《模型思维》,,看完之后对物理以及各类学科的理论学习有了新的视角,
,《基础有机化学》（手动滑稽）,邢其毅,有机化学的入门书,
yesi,《马祖尔物理学》,埃里克马祖尔,相比其他物理书更偏向告诉你物理结论然后用演绎的方法应用，这本书尝试换一种思路以物理学家的视角企图让学生自己归纳出物理原理，对知识讲解更深入非常适合自学,
yesi,《英语魔法师之语法俱乐部》,旋元佑,超级推荐给那些觉得英语语法看不懂的孩子，作者用新的观点重新讲解传统语法醍醐灌顶,
淘汰硬体,《中国哲学简史》,冯友兰,对中国的哲学有了一个大致的了解,
笨笨就喜欢这样的你,高效全平台全栈开发node.js+Express+MongoDB+React+Electron+ReactNative,吴晓一,可以对大学所学前端知识快速整合,没学过的也可以学,
你妹的桃桃,樊登讲论语,樊登,作者将论语和现代人的生活紧密联系在一起,
堂吉诃德的接班人,《风格感觉》,史蒂芬·平克,21世纪写作指南，论文清晰流畅写作的不二法宝。良好的写作风格确保信息的有效传达，赢得读者的信任，给世界增加美。,
二白,《机器人》《基地系列》,阿西莫夫,超级好看的科幻类小说！关于宇宙与人类交际的神奇作品,
小背头剪刀手,《发现社会》,兰德里·柯林斯,非常适合入门的社会学理论综述，小而全，写得很优美,
zoe,《病毒星球》,卡尔 齐默,一百多页的书，讲述了五百多页的内容。疫情前老师送给我的书，书中预测到了疫情。疫情后，书中的观点经常被很多科普的up主引用（能记得的有智能路障）,
天気,《Lehninger Principles of Biochemistry》,David L. Nelson | Michael M. Cox,国外优质生化教材，编排逻辑清晰，图片丰富，对帮助理解机理有很大帮助,
天気,《生物进化》,Douglas J. Futuyma,进化生物学优质教材，有中文译本,
是不爱了吗z,《宪法学讲义》,莫提默·J.艾德勒《如何阅读一本书》,法学宪法学专业推荐书籍,
胖三斤的喵,,林来梵,,
沐雨,《Linux就该这么学》,刘遄,,
沐雨,《白鹿原》,陈忠实,,
UKI,《人力资源管理》,加里·德斯勒,人力资源必看,
香辣饽饽,《认知天性》,彼得·c.布朗,,
小小哇哇,《一个人的好天气》,,空闲的日子里治愈人心,
小小哇哇,《山茶文具店》,,空闲的日子里治愈人心,
小小哇哇,《闪闪发光的人生》,,空闲的日子里治愈人心,
六月六月兄,《大灭绝时代》,伊丽莎白.科尔伯特,了解人类活动对生态环境的影响，物种灭绝就发生在我们日常生活中,
远志学,《黄帝内经》,人卫 / 中国中医出版社,中医人绕不开的书,
远志学,《AI岐黄中医大脑医案集》,林大栋（美）,古代智慧与当代科技的融合,
远志学,《圆运动的古中医学》,彭子益,,
远志学,《物演通论》,王东岳,提出了递弱代偿理论,
远志学,《代谢增长轮》,陈平,物理、生物等多学科交叉基础上了解经济系统,
远志学,《癌症真相》,菠萝,普通人是能读,
远志学,《如何高效学习》,斯科特·杨,,
远志学,《周期》,霍华顿·马斯卡,,
远志学,《洞见》,罗伯特·赖特,心理学理论印证佛学观点,
远志学,《新世界灵性的觉醒》,克哈特·托尔,觉醒,
远志学,《矛盾论》,毛泽东,要看,
远志学,《实践论》,毛泽东,要看,
远志学,《十次危机》,温铁军,要看,
星海的吟游诗人,《风格的要素》（建议外研社版本）,威廉·斯特伦克,受人安利的，全球英文写作的经典，可以精进你的英文写作，属于进阶类书藉。,
不懂的狐狸,《迷人的材料》 & 《迷人的液体》,马克·米奥多尼克,这两本书是材料学（啊，液体好像不是材料学范围的）的科普读物，写的风趣好玩，看完‘材料’的第一章我就买了好几把菜刀……,
Jesse,《增广贤文》,佚名,很赞的读物，虽然有其封建局限性，但利大于弊值得一读,
Dr周崖笙,《少有人走的路》,斯科特派克,心理学书籍，浅显易懂，有助于个人心灵成长,
1844年经济学哲学手稿,,卡尔·马克思,,
一大夹子,《编码》《贫穷的本质》《基本演绎法》,,主要是好看,
SsCczzz,《候场》,李诞,"（力推）以小说形式自述""李诞""在社会过来的心理路程，反思自己，正视自己。",
老老程,《嫌疑人x的献身》,东野圭吾,,
乾先生,《再被狐狸骗一次》,沈石溪,人与动物之间的友谊，往往是最纯真，最坚固，最令人感动的。,
永久性混吃等死,《红岩》,罗广斌,,
连续一个月上课背书,《金阁寺》,三岛由纪夫,与美的决裂，对庸俗的背叛,
我的前后桌是神经病,《红拂夜奔》,王小波,做自由的使徒,
达瓦里希,《绞刑架下的报告》,伏契克,星星之火，可以燎原,
记得剪头,《乌拉尼亚》,勒克莱齐奥,资本绞杀下人性的流浪,
别骂我,《田园诗和狂想曲》,秦晖,对于中国古代土地史的研究，是农民学研究的精品，观点可参考，拓展思路,
背书机器,《茶馆》,老舍,希望再没有第四幕,
我不是小布尔乔亚,《共产主义abc》,布哈林,虽然偶尔有些离谱，但布哈林真不是小布尔乔亚,
澹月骑,《娱乐至死》,尼尔·波兹曼,在当下，我们都该思考下新兴媒体，如互联网，抖音，快手对于我们最隐晦的影响,
澹月骑,《爱的艺术》,艾里希·弗洛姆,人人都说自己爱着他人。而爱是一门艺术而不是空话，正如我们所修习的其他艺术一样，爱，也需要学习。,
澹月骑,《瓦尔登湖》,亨利·戴维·梭罗,这本书可能很有名，也可能很枯燥。因为它受人追捧，却与当下格格不入。在如今快人亿步的社会，梭罗笔下的慢生活是否仅能是一种奢望，只能存留在笔下？,
漠以,《光荣革命》,,,
漠以,《时间简史》,,,
漠以,《从总账到总监》,,,
澹月骑,《存在的艺术》,艾里希·弗洛姆,我们活着不是以我们占有什么为意义，而是我们应该怎样存在,
日月,《基因论》,摩尔根,,
律师转职法师,《美学散步》,宗白华,教你鉴赏美在何处,
