推荐人ID,推荐课程名称,授课老师,课程对应专业,课程所在平台,跳转链接,推荐人专业,推荐语,推荐日期
大头乔头很大,最适合中国人的音标课,英语兔,英语,B站官方账号,BV1iV411z7Nj,日语,兔老爹的英语语音发音分析得很详尽，还从英美发音习惯的对比上分析英语语音，适合初高中学生纠正错误的发音习惯，适合大学英专非英专学生培养正统英美口音的发音习惯。;适合大学英专非英专学生培养正统英美口音的发音习惯,2021年1月18日
小小哇哇,走近大诗人（陶渊明|李白|杜甫 合）,戴建业老师,汉语言文学,网易公开课,https://open.163.com/newview/movie/free?pid=MDUMJLOAP&mid=MDUTNIS5H,汉语言文学,老师讲课的节奏很舒服，一起来接受诗词的熏陶吧,2021年1月19日
天才改代码少年,自然语言处理入门,Michael Collins,自然语言处理,B站（国外公开课）,https://www.bilibili.com/video/BV1xx411B7UY?from=search&seid=10976806174105871785,计算机科学/人工智能/计算语言学,一套成体系的自然语言处理从入门到深入的课程,2021年2月9日
夏和半山,自动控制原理,Dr.CAN,自动控制原理,B站官方账号,https://www.bilibili.com/video/BV1jt411M7QU,自动化,没有复杂的公式推演，只是简单的讲解其中的联系,2021年2月8日
是我阿克希呀,住宅精细化设计,周燕珉,建筑设计,学堂在线,https://www.xuetangx.com/course/THU08281000445/4231099?channel=learn_title,建筑学,建筑学在读研究生表示住宅设计的讲解非常棒,2021年2月9日
是一只小黄鸭,主要是VASP的计算比较细致,华算科技b站账号,材料计算相关基础,B站官方账号,BV1Lf4y1S7Eg,材料物理（理论计算）,这些vasp的视频比纸质材料更好理解（我感觉），讲的还算比较细致，愿意在材料方面深造的同学可以看，线下的他们的课是收费的，但是线上是免费的。,2021年1月17日
黄芽,中医学基本思维原理,邓中甲,中医学,知盈,http://v.knowwing.com/special/details/2.html,中医学,,2021年2月9日
MF,中医基础理论,潘毅,中医学,大学资源网,http://www.dxzy163.com/view/index11062.html,中医学,中医入门，通俗易懂，加深对传统文化的了解,2021年1月18日
远志学,中医各家学说,李董男,中医各家学说,B站官方账号,BV1fC4y1s7cd,中医学,有趣的老师，但视频比较散，需要集合,2021年1月20日
5乘7等于35,中枢神经解刨,袁建新,应用心理,中国大学mooc,,应用心理,中枢学习的圣经,2021年1月17日
小小哇哇,中华诗词之美,叶嘉莹老师,汉语言文学,超星慕课,https://mooc1.chaoxing.com/nodedetailcontroller/visitnodedetail?courseId=200051834&knowledgeId=103648040,汉语言文学,了解诗词之美,2021年1月19日
ZCild,中国现当代文学史,,文学,爱课程（国家精品课）,http://www.icourses.cn/sCourse/course_6363.html,汉语言文学,国家级精品课程,2021年2月9日
张紫溟,中国现当代文学,丁帆,中国现当代文学,爱课程,http://www.icourses.cn/sCourse/course_3763.html,汉语言文学,视角新颖，对于很多问题给出了新的解释，本课为其两名博士生所讲授，合著有《中国新文学史》,2021年2月7日
ZCild,中国现当代文学,朱栋霖,文学,爱课程（国家精品课）,http://www.icourses.cn/sCourse/course_2644.html,汉语言文学,《中国现代文学史1915-2018》上下册的主编“朱栋霖”教授,2021年2月9日
云慢慢,中国文学史,欧丽娟,汉语言文学,台湾大学公开课,http://ocw.aca.ntu.edu.tw/ntu-ocw/index.php/ocw/cou/102S104,汉语言文学,讲解内容有深度，可以引发我们新思路,2021年1月19日
一介,中国书法,沈浩、沈乐平,书法学,中国大学MOOC,https://www.icourse163.org/course/CAA-1463205167?utm_source=weixin&utm_medium=iphoneShare&utm_campaign=share,书法学,书法是中国特有的一门传统艺术，是其传统文化的代表，凝结着中国独特的审美意识和生生不息的文化精神。林语堂先生在《吾土吾民》中写道：“书法提供了中国人以基本的美学原理”。所以，学习书法是了解中国文化和审美最为便捷的途径。,2021年4月20日
SW斯凯沃克,中国古建筑艺术,柳肃,建筑学（建筑历史方向）,中国大学MOOC,https://www.icourse163.org/course/HNU-43002,建筑学,给一般大众和非建筑专业学生的古建筑文化科普，历史与建筑形式相融合，而且柳肃老师都上央视百家讲坛了。,2021年2月10日
